Using cpu device
Logging to ./output/ppo_tensorboard/default_16v0_0
-------------------------------
| time/              |        |
|    fps             | 211    |
|    iterations      | 1      |
|    time_elapsed    | 619    |
|    total_timesteps | 131072 |
-------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 118         |
|    iterations           | 2           |
|    time_elapsed         | 2217        |
|    total_timesteps      | 262144      |
| train/                  |             |
|    approx_kl            | 0.008436874 |
|    clip_fraction        | 0.071       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.34       |
|    explained_variance   | 0.00212     |
|    learning_rate        | 0.000984    |
|    loss                 | 729         |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0031     |
|    std                  | 0.925       |
|    value_loss           | 2.78e+03    |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 85          |
|    iterations           | 3           |
|    time_elapsed         | 4605        |
|    total_timesteps      | 393216      |
| train/                  |             |
|    approx_kl            | 0.011056015 |
|    clip_fraction        | 0.0868      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.25       |
|    explained_variance   | 0.107       |
|    learning_rate        | 0.000967    |
|    loss                 | 3.8e+03     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.00465    |
|    std                  | 0.832       |
|    value_loss           | 4.87e+03    |
-----------------------------------------
-----------------------------------------
| time/                   |             |
|    fps                  | 67          |
|    iterations           | 4           |
|    time_elapsed         | 7797        |
|    total_timesteps      | 524288      |
| train/                  |             |
|    approx_kl            | 0.021497399 |
|    clip_fraction        | 0.126       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.11       |
|    explained_variance   | 0.134       |
|    learning_rate        | 0.000951    |
|    loss                 | 4.4e+03     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.00738    |
|    std                  | 0.73        |
|    value_loss           | 1.45e+04    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1.86e+04   |
|    ep_rew_mean          | -6.46e+04  |
| time/                   |            |
|    fps                  | 59         |
|    iterations           | 5          |
|    time_elapsed         | 10987      |
|    total_timesteps      | 655360     |
| train/                  |            |
|    approx_kl            | 0.02254064 |
|    clip_fraction        | 0.137      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.966     |
|    explained_variance   | 0.147      |
|    learning_rate        | 0.000934   |
|    loss                 | 1.43e+04   |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.00549   |
|    std                  | 0.637      |
|    value_loss           | 9.06e+04   |
----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.98e+04     |
|    ep_rew_mean          | -6.62e+04    |
| time/                   |              |
|    fps                  | 62           |
|    iterations           | 6            |
|    time_elapsed         | 12634        |
|    total_timesteps      | 786432       |
| train/                  |              |
|    approx_kl            | 0.0049859444 |
|    clip_fraction        | 0.0589       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.94        |
|    explained_variance   | 0.831        |
|    learning_rate        | 0.000918     |
|    loss                 | 197          |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.000145    |
|    std                  | 0.621        |
|    value_loss           | 250          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1.98e+04    |
|    ep_rew_mean          | -6.62e+04   |
| time/                   |             |
|    fps                  | 63          |
|    iterations           | 7           |
|    time_elapsed         | 14355       |
|    total_timesteps      | 917504      |
| train/                  |             |
|    approx_kl            | 0.005013247 |
|    clip_fraction        | 0.0572      |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.934      |
|    explained_variance   | 0.752       |
|    learning_rate        | 0.000902    |
|    loss                 | 13          |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.00121    |
|    std                  | 0.613       |
|    value_loss           | 27.4        |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 1.98e+04     |
|    ep_rew_mean          | -6.62e+04    |
| time/                   |              |
|    fps                  | 62           |
|    iterations           | 8            |
|    time_elapsed         | 16864        |
|    total_timesteps      | 1048576      |
| train/                  |              |
|    approx_kl            | 0.0060169594 |
|    clip_fraction        | 0.0731       |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.926       |
|    explained_variance   | 0.492        |
|    learning_rate        | 0.000885     |
|    loss                 | 5.32         |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00365     |
|    std                  | 0.611        |
|    value_loss           | 10.4         |
------------------------------------------
slurmstepd: error: *** JOB 12473500 ON cn1573 CANCELLED AT 2024-05-17T22:27:05 DUE TO TIME LIMIT ***
